tool_name,agent,severity,type,description,status
mittwald_app_open,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/open.js",open
mittwald_app_ssh,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/ssh.js",open
mittwald_app_uninstall,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/uninstall.js",open
mittwald_app_update,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/update.js",open
mittwald_app_upload,agent-3,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/app/upload.js",open
mittwald_project_create,agent-18,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/project/create.js",open
mittwald_project_delete,agent-18,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/project/delete.js",open
mittwald_project_get,agent-18,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/project/get.js",open
mittwald_project_filesystem_usage,agent-18,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/project/filesystem/usage.js",open
mittwald_project_filesystem,agent-18,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/project/filesystem.js",open
mittwald_project_invite_get,agent-18,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/project/invite/get.js",open
mittwald_project_invite_list_own,agent-18,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/project/invite/list/own.js",open
mittwald_project_invite_list,agent-18,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/project/invite/list.js",open
mittwald_domain_virtualhost_list,agent-11,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/domain/virtualhost/list.js",open
mittwald_extension_install,agent-14,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/extension/install.js",open
mittwald_extension_list_installed,agent-14,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/extension/list/installed.js",open
mittwald_extension_list,agent-14,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/extension/list.js",open
mittwald_extension_uninstall,agent-14,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/extension/uninstall.js",open
mittwald_login_reset,agent-14,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/login/reset.js",open
mittwald_cronjob_create,agent-8,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/cronjob/create.js",open
mittwald_cronjob_delete,agent-8,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/cronjob/delete.js",open
mittwald_cronjob_execute,agent-8,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/cronjob/execute.js",open
mittwald_cronjob_execution_abort,agent-7,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/cronjob/execution/abort.js",open
mittwald_cronjob_execution_get,agent-7,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/cronjob/execution/get.js",open
mittwald_cronjob_execution_list,agent-7,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/cronjob/execution/list.js",open
mittwald_cronjob_execution_logs,agent-7,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/cronjob/execution/logs.js",open
mittwald_cronjob_execution,agent-8,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/cronjob/execution.js",open
mittwald_cronjob_get,agent-8,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/cronjob/get.js",open
mittwald_cronjob_list,agent-8,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/cronjob/list.js",open
mittwald_cronjob_update,agent-8,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/cronjob/update.js",open
mittwald_cronjob,unknown,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/cronjob.js",open
mittwald_database_mysql_dump,agent-9,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/database/mysql/dump.js",open
mittwald_database_mysql_get,agent-9,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/database/mysql/get.js",open
mittwald_database_mysql_import,agent-9,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/database/mysql/import.js",open
mittwald_database_mysql_list,agent-9,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/database/mysql/list.js",open
mittwald_database_mysql_phpmyadmin,agent-9,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/database/mysql/phpmyadmin.js",open
mittwald_database_mysql_port_forward,agent-9,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/database/mysql/port/forward.js",open
mittwald_database_mysql_shell,agent-9,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/database/mysql/shell.js",open
mittwald_database_mysql_versions,agent-9,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/database/mysql/versions.js",open
mittwald_database_list,agent-9,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/database/list.js",open
mittwald_database_mysql_charsets,agent-9,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/database/mysql/charsets.js",open
mittwald_database_mysql_create,agent-9,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/database/mysql/create.js",open
mittwald_database_mysql_delete,agent-9,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/database/mysql/delete.js",open
mittwald_ddev_init,agent-11,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/ddev/init.js",open
mittwald_ddev_render_config,agent-11,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/ddev/render/config.js",open
mittwald_ddev,unknown,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/ddev.js",open
mittwald_domain_get,agent-11,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/domain/get.js",open
mittwald_domain_dnszone_get,agent-11,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/domain/dnszone/get.js",open
mittwald_domain_dnszone_list,agent-11,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/domain/dnszone/list.js",open
mittwald_domain_dnszone_update,agent-11,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/domain/dnszone/update.js",open
mittwald_domain_dnszone,agent-11,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/domain/dnszone.js",open
mittwald_mail_deliverybox,agent-15,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/mail/deliverybox.js",open
mittwald_mail,unknown,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/mail.js",open
mittwald_org_membership_list,agent-16,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/org/membership/list.js",open
mittwald_org_membership_revoke,agent-16,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/org/membership/revoke.js",open
mittwald_org_membership,agent-16,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/org/membership.js",open
mittwald_org,unknown,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/org.js",open
mittwald_org_delete,agent-16,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/org/delete.js",open
mittwald_org_get,agent-16,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/org/get.js",open
mittwald_org_invite,agent-16,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/org/invite.js",open
mittwald_org_list,agent-16,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/org/list.js",open
mittwald_org_membership_list_own,agent-16,critical,missing_definition,"Missing definition file: src/constants/tool/mittwald-cli/org/membership/list/own.js",open
mittwald_app_dependency_update,agent-2,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/dependency/update.js",open
mittwald_app_dependency_versions,agent-2,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/dependency/versions.js",open
mittwald_app_dependency_list,agent-2,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/dependency/list.js",open
mittwald_app_download,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/download.js",open
mittwald_app_get,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/get.js",open
mittwald_app_install,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/install.js",open
mittwald_app_install_contao,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/install/contao.js",open
mittwald_app_list_upgrade_candidates,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/list/upgrade/candidates.js",open
mittwald_app_install_joomla,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/install/joomla.js",open
mittwald_app_install_matomo,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/install/matomo.js",open
mittwald_app_install_nextcloud,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/install/nextcloud.js",open
mittwald_app_install_shopware5,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/install/shopware5.js",open
mittwald_app_install_shopware6,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/install/shopware6.js",open
mittwald_app_install_typo3,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/install/typo3.js",open
mittwald_app_install_wordpress,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/install/wordpress.js",open
mittwald_app_list,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/list.js",open
mittwald_app_open,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/open.js",open
mittwald_app_ssh,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/ssh.js",open
mittwald_app_uninstall,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/uninstall.js",open
mittwald_app_update,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/update.js",open
mittwald_app_upload,agent-3,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/app/upload.js",open
mittwald_project_create,agent-18,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/project/create.js",open
mittwald_project_delete,agent-18,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/project/delete.js",open
mittwald_project_get,agent-18,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/project/get.js",open
mittwald_project_filesystem_usage,agent-18,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/project/filesystem/usage.js",open
mittwald_project_filesystem,agent-18,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/project/filesystem.js",open
mittwald_project_invite_get,agent-18,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/project/invite/get.js",open
mittwald_project_invite_list_own,agent-18,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/project/invite/list/own.js",open
mittwald_project_invite_list,agent-18,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/project/invite/list.js",open
mittwald_domain_virtualhost_list,agent-11,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/domain/virtualhost/list.js",open
mittwald_extension_install,agent-14,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/extension/install.js",open
mittwald_extension_list_installed,agent-14,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/extension/list/installed.js",open
mittwald_extension_list,agent-14,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/extension/list.js",open
mittwald_extension_uninstall,agent-14,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/extension/uninstall.js",open
mittwald_login_reset,agent-14,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/login/reset.js",open
mittwald_cronjob_create,agent-8,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/cronjob/create.js",open
mittwald_cronjob_delete,agent-8,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/cronjob/delete.js",open
mittwald_cronjob_execute,agent-8,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/cronjob/execute.js",open
mittwald_cronjob_execution_abort,agent-7,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/cronjob/execution/abort.js",open
mittwald_cronjob_execution_get,agent-7,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/cronjob/execution/get.js",open
mittwald_cronjob_execution_list,agent-7,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/cronjob/execution/list.js",open
mittwald_cronjob_execution_logs,agent-7,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/cronjob/execution/logs.js",open
mittwald_cronjob_execution,agent-8,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/cronjob/execution.js",open
mittwald_cronjob_get,agent-8,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/cronjob/get.js",open
mittwald_cronjob_list,agent-8,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/cronjob/list.js",open
mittwald_cronjob_update,agent-8,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/cronjob/update.js",open
mittwald_cronjob,unknown,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/cronjob.js",open
mittwald_database_mysql_dump,agent-9,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/database/mysql/dump.js",open
mittwald_database_mysql_get,agent-9,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/database/mysql/get.js",open
mittwald_database_mysql_import,agent-9,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/database/mysql/import.js",open
mittwald_database_mysql_list,agent-9,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/database/mysql/list.js",open
mittwald_database_mysql_phpmyadmin,agent-9,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/database/mysql/phpmyadmin.js",open
mittwald_database_mysql_port_forward,agent-9,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/database/mysql/port/forward.js",open
mittwald_database_mysql_shell,agent-9,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/database/mysql/shell.js",open
mittwald_database_mysql_versions,agent-9,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/database/mysql/versions.js",open
mittwald_database_list,agent-9,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/database/list.js",open
mittwald_database_mysql_charsets,agent-9,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/database/mysql/charsets.js",open
mittwald_database_mysql_create,agent-9,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/database/mysql/create.js",open
mittwald_database_mysql_delete,agent-9,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/database/mysql/delete.js",open
mittwald_ddev_init,agent-11,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/ddev/init.js",open
mittwald_ddev_render_config,agent-11,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/ddev/render/config.js",open
mittwald_ddev,unknown,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/ddev.js",open
mittwald_domain_get,agent-11,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/domain/get.js",open
mittwald_domain_dnszone_get,agent-11,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/domain/dnszone/get.js",open
mittwald_domain_dnszone_list,agent-11,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/domain/dnszone/list.js",open
mittwald_domain_dnszone_update,agent-11,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/domain/dnszone/update.js",open
mittwald_domain_dnszone,agent-11,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/domain/dnszone.js",open
mittwald_mail_deliverybox,agent-15,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/mail/deliverybox.js",open
mittwald_mail,unknown,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/mail.js",open
mittwald_org_membership_list,agent-16,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/org/membership/list.js",open
mittwald_org_membership_revoke,agent-16,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/org/membership/revoke.js",open
mittwald_org_membership,agent-16,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/org/membership.js",open
mittwald_org,unknown,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/org.js",open
mittwald_org_delete,agent-16,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/org/delete.js",open
mittwald_org_get,agent-16,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/org/get.js",open
mittwald_org_invite,agent-16,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/org/invite.js",open
mittwald_org_list,agent-16,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/org/list.js",open
mittwald_org_membership_list_own,agent-16,critical,missing_handler,"Missing handler file: src/handlers/tools/mittwald-cli/org/membership/list/own.js",open
mittwald_app_upload,agent-3,high,missing_schema,"Missing Zod schema in ToolSchemas",open
mittwald_project_filesystem,agent-18,high,missing_schema,"Missing Zod schema in ToolSchemas",open
mittwald_project_invite_list,agent-18,high,missing_schema,"Missing Zod schema in ToolSchemas",open
mittwald_cronjob_create,agent-8,high,missing_schema,"Missing Zod schema in ToolSchemas",open
mittwald_cronjob_delete,agent-8,high,missing_schema,"Missing Zod schema in ToolSchemas",open
mittwald_cronjob_execute,agent-8,high,missing_schema,"Missing Zod schema in ToolSchemas",open
mittwald_mail,unknown,high,missing_schema,"Missing Zod schema in ToolSchemas",open
mittwald_org_delete,agent-16,high,missing_schema,"Missing Zod schema in ToolSchemas",open
mittwald_org_get,agent-16,high,missing_schema,"Missing Zod schema in ToolSchemas",open
mittwald_org_invite,agent-16,high,missing_schema,"Missing Zod schema in ToolSchemas",open
mittwald_org_list,agent-16,high,missing_schema,"Missing Zod schema in ToolSchemas",open
mittwald_org_membership_list_own,agent-16,high,missing_schema,"Missing Zod schema in ToolSchemas",open
mittwald_app_dependency_list,agent-2,high,missing_switch,"Missing switch case in handleToolCall",open
mittwald_app_download,agent-3,high,missing_switch,"Missing switch case in handleToolCall",open
mittwald_app_get,agent-3,high,missing_switch,"Missing switch case in handleToolCall",open
mittwald_app_install,agent-3,high,missing_switch,"Missing switch case in handleToolCall",open
mittwald_app_install_contao,agent-3,high,missing_switch,"Missing switch case in handleToolCall",open
mittwald_app_list_upgrade_candidates,agent-3,high,missing_switch,"Missing switch case in handleToolCall",open
mittwald_app_upload,agent-3,high,missing_switch,"Missing switch case in handleToolCall",open
mittwald_project_filesystem,agent-18,high,missing_switch,"Missing switch case in handleToolCall",open
mittwald_project_invite_list_own,agent-18,high,missing_switch,"Missing switch case in handleToolCall",open
mittwald_project_invite_list,agent-18,high,missing_switch,"Missing switch case in handleToolCall",open
mittwald_cronjob_create,agent-8,high,missing_switch,"Missing switch case in handleToolCall",open
mittwald_cronjob_delete,agent-8,high,missing_switch,"Missing switch case in handleToolCall",open
mittwald_cronjob_execute,agent-8,high,missing_switch,"Missing switch case in handleToolCall",open
mittwald_org_membership,agent-16,high,missing_switch,"Missing switch case in handleToolCall",open
mittwald_cronjob_get,agent-8,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_cronjob_list,agent-8,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_cronjob_update,agent-8,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_database_mysql_dump,agent-9,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_database_mysql_get,agent-9,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_database_mysql_import,agent-9,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_database_mysql_list,agent-9,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_database_mysql_phpmyadmin,agent-9,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_database_mysql_port_forward,agent-9,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_database_mysql_shell,agent-9,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_database_mysql_versions,agent-9,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_database_list,agent-9,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_database_mysql_charsets,agent-9,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_database_mysql_create,agent-9,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_database_mysql_delete,agent-9,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_ddev_init,agent-11,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_ddev_render_config,agent-11,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_ddev,unknown,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_domain_get,agent-11,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_domain_dnszone_get,agent-11,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_domain_dnszone_list,agent-11,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_domain_dnszone_update,agent-11,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
mittwald_domain_dnszone,agent-11,high,missing_import_tools,"Tool not imported in constants/tools.ts",open
